"","Datum","Daily.Nr.","Probenummer","Objektbezeichnung","Fundlage","Lage","Taxon","Name","Resttyp","Erhaltungstyp","Season","Himmelsrichtung","Art"
"78","09.12.2018","9.12.2018-166","TG18_MS1_CS_074","Botanische Reste","MS2, Suederweiterung X2, obere Schicht","MS2","Hyphaene thebaica","Dumpalme","Frucht","vertrocknet","2018","Sueden","Früchte"
"79","10.12.2018","10.12.2018-165","TG18_MS1_CS_121","Botanische Reste","MS2, kl. Raum Osten von M003","MS2","Hyphaene thebaica","Dumpalme","Frucht","vertrocknet","2018","Nord-Westen","Früchte"
"80","13.12.2018","13.12.2018-162","TG18_MS1_CS_239","Früchte, Kerne, Zwiebelschale","MS2, Westen von M005, M006, M008","MS2","Hyphaene thebaica","Dumpalme","Frucht","vertrocknet","2018","Nord-Westen","Früchte"
"81","13.12.2018","13.12.2018-183","TG18_MS1_CS_248","Holzstück und Palmenfrüchte","MS1, Ostwand aussen","MS1","Hyphaene thebaica","Dumpalme","Frucht","vertrocknet","2018","Osten","Früchte"
"82","13.12.2018","13.12.2018-183","TG18_MS1_CS_248","Holzstück und Palmenfrüchte","MS1, Ostwand aussen","MS1","Hyphaene thebaica","Dumpalme","Frucht","vertrocknet","2018","Osten","Früchte"
"83","16.12.2018","16.12.2018-165","TG18_MS1_CS_320","Holz, Früchte, Dompalmenfrucht","MS2, Sued-Ost von M009","MS2","Hyphaene thebaica","Dumpalme","Frucht","vertrocknet","2018","Nord-Osten","Früchte"
"84","17.12.2018","17.12.2018-107","TG18_MS1_CS_326","Holz und andere Botanik","MS2, Matte rs (?)","MS2","Hyphaene thebaica","Dumpalme","Frucht","vertrocknet","2018","Westen","Früchte"
"85","18.12.2018","18.12.2018-106","TG18_MS1_CS_343","Probepflanzen","MS2, S1 + S2","MS2","Hyphaene thebaica","Dumpalme","Frucht","vertrocknet","2018","Westen","Früchte"
"86","18.12.2018","18.12.2018-130","TG18_MS1_CS_356","Früchte","MS1, Nordwand (Nord-Ost-Ecke)","MS1","Hyphaene thebaica","Dumpalme","Frucht","vertrocknet","2018","Nord-Osten","Früchte"
"87","18.12.2018","18.12.2018-146","TG18_MS1_CS_364","Frucht","MS2, untere Sandschicht Matte B (X2)","MS2","Hyphaene thebaica","Dumpalme","Frucht","vertrocknet","2018","Sueden","Früchte"
"88","09.12.2018","9.12.2018-166","TG18_MS1_CS_074","Botanische Reste","MS2, Suederweiterung X2, obere Schicht","MS2",NA,"indeterminata","Same/Frucht","verkohlt","2018","Sueden",NA
"89","10.12.2018","10.12.2018-118","TG18_MS1_CS_093","Kerne","MS2, M003 Ostseite","MS2",NA,"indeterminata","Wurzel","vertrocknet","2018","Westen",NA
"90","16.12.2018","16.12.2018-134","TG18_MS1_CS_305","Kerne und Früchte","MS2, zw. M004, M006 und Matte","MS2",NA,"indeterminata","Wurzel","vertrocknet","2018","Westen",NA
"91","10.12.2018","10.12.2018-114","TG18_MS1_CS_091","Verkohltes Holz und Früchte","MS2, bot. Befund im Sued-Ost von M004","MS2",NA,"indeterminata","Wurzel","verkohlt","2018","Westen",NA
"92","10.12.2018","10.12.2018-114","TG18_MS1_CS_091","Verkohltes Holz und Früchte","MS2, bot. Befund im Sued-Ost von M004","MS2",NA,"indeterminata","Wurzel","verkohlt","2018","Westen",NA
"93","10.12.2018","10.12.2018-114","TG18_MS1_CS_091","Verkohltes Holz und Früchte","MS2, bot. Befund im Sued-Ost von M004","MS2",NA,"indeterminata","Wurzel","verkohlt","2018","Westen",NA
"94","10.12.2018","10.12.2018-114","TG18_MS1_CS_091","Verkohltes Holz und Früchte","MS2, bot. Befund im Sued-Ost von M004","MS2",NA,"indeterminata","Wurzel","verkohlt","2018","Westen",NA
"95","10.12.2018","10.12.2018-114","TG18_MS1_CS_091","Verkohltes Holz und Früchte","MS2, bot. Befund im Sued-Ost von M004","MS2",NA,"indeterminata","Halm","verkohlt","2018","Westen",NA
"96","08.12.2018","8.12.2018-152","TG18_MS1_CS_039","Holzkohle","MS2, zw. Palmstamm und LZ-Verbruch","MS2",NA,"indeterminata","Frucht","vertrocknet","2018","Westen",NA
"97","10.12.2018","10.12.2018-171","TG18_MS1_CS_124","Korbstücke","MS2, Suederweiterung X2, obere Schicht","MS2",NA,"indeterminata","Frucht","vertrocknet","2018","Sueden",NA
"98","16.12.2018","16.12.2018-134","TG18_MS1_CS_305","Kerne und Früchte","MS2, zw. M004, M006 und Matte","MS2",NA,"indeterminata","Frucht","vertrocknet","2018","Westen",NA
"99","10.12.2018","10.12.2018-171","TG18_MS1_CS_124","Korbstücke","MS2, Suederweiterung X2, obere Schicht","MS2",NA,"indeterminata","Halm","vertrocknet","2018","Sueden",NA
"100","10.12.2018","10.12.2018-171","TG18_MS1_CS_124","Korbstücke","MS2, Suederweiterung X2, obere Schicht","MS2",NA,"indeterminata","Halm","vertrocknet","2018","Sueden",NA
"101","17.12.2018","17.12.2018-107","TG18_MS1_CS_326","Holz und andere Botanik","MS2, Matte rs (?)","MS2",NA,"indeterminata","Halm","vertrocknet","2018","Westen",NA
"102","09.12.2018","9.12.2018-107","TG18_MS1_CS_042","Datteln, Dompalme, Kerne Früchte","MS2, in Schnitt X3, Aushub nach Westen hin","MS2",NA,"indeterminata","Halmnodium","vertrocknet","2018","Nord-Westen",NA
"103","16.12.2018","16.12.2018-138","TG18_MS1_CS_308","Botanikprobe","MS2, zw. M008 und Suedwand","MS2",NA,"indeterminata","Halmnodium","vertrocknet","2018","Norden",NA
"104","17.12.2018","17.12.2018-107","TG18_MS1_CS_326","Holz und andere Botanik","MS2, Matte rs (?)","MS2",NA,"indeterminata","Halmnodium","vertrocknet","2018","Westen",NA
"105","17.12.2018","17.12.2018-107","TG18_MS1_CS_326","Holz und andere Botanik","MS2, Matte rs (?)","MS2",NA,"indeterminata","Halmnodium","vertrocknet","2018","Westen",NA
"106","17.12.2018","17.12.2018-107","TG18_MS1_CS_326","Holz und andere Botanik","MS2, Matte rs (?)","MS2",NA,"indeterminata","Halmnodium","vertrocknet","2018","Westen",NA
"107","17.12.2018","17.12.2018-107","TG18_MS1_CS_326","Holz und andere Botanik","MS2, Matte rs (?)","MS2",NA,"indeterminata","Halmnodium","vertrocknet","2018","Westen",NA
"108","17.12.2018","17.12.2018-107","TG18_MS1_CS_326","Holz und andere Botanik","MS2, Matte rs (?)","MS2",NA,"indeterminata","Halmnodium","vertrocknet","2018","Westen",NA
"109","17.12.2018","17.12.2018-107","TG18_MS1_CS_326","Holz und andere Botanik","MS2, Matte rs (?)","MS2",NA,"indeterminata","Halmnodium","vertrocknet","2018","Westen",NA
"110","17.12.2018","17.12.2018-107","TG18_MS1_CS_326","Holz und andere Botanik","MS2, Matte rs (?)","MS2",NA,"indeterminata","Halmnodium","vertrocknet","2018","Westen",NA
"111","17.12.2018","17.12.2018-107","TG18_MS1_CS_326","Holz und andere Botanik","MS2, Matte rs (?)","MS2",NA,"indeterminata","Halmnodium","vertrocknet","2018","Westen",NA
"112","19.12.2018","19.12.2018-105","TG18_MS1_CS_372","Botanikprobe","MS2, X2 Suederweiterung","MS2",NA,"indeterminata","Halmnodium","vertrocknet","2018","Sueden",NA
"113","16.12.2018","16.12.2018-155","TG18_MS1_CS_316","Probe","MS2, Osten von M004 (Norden von 10.12.2018-102)","MS2",NA,"indeterminata","Rinde","vertrocknet","2018","Westen",NA
"114","16.12.2018","16.12.2018-155","TG18_MS1_CS_316","Probe","MS2, Osten von M004 (Norden von 10.12.2018-102)","MS2",NA,"indeterminata","Rinde","vertrocknet","2018","Westen",NA
"115","10.12.2018","10.12.2018-171","TG18_MS1_CS_124","Korbstücke","MS2, Suederweiterung X2, obere Schicht","MS2",NA,"indeterminata","Blüte","vertrocknet","2018","Sueden",NA
"116","10.12.2018","10.12.2018-171","TG18_MS1_CS_124","Korbstücke","MS2, Suederweiterung X2, obere Schicht","MS2",NA,"indeterminata","Blüte","vertrocknet","2018","Sueden",NA
"117","10.12.2018","10.12.2018-171","TG18_MS1_CS_124","Korbstücke","MS2, Suederweiterung X2, obere Schicht","MS2",NA,"indeterminata","Blüte","vertrocknet","2018","Sueden",NA
"118","10.12.2018","10.12.2018-279","TG18_MS1_CS_128","Samen und Pflanzenreste","MS2, Westen von M007","MS2",NA,"indeterminata","Blüte","vertrocknet","2018","Nord-Osten",NA
"119","10.12.2018","10.12.2018-279","TG18_MS1_CS_128","Samen und Pflanzenreste","MS2, Westen von M007","MS2",NA,"indeterminata","Blüte","vertrocknet","2018","Nord-Osten",NA
"120","16.12.2018","16.12.2018-117","TG18_MS1_CS_293","Blätter","MS2, zw. M003 und M008","MS2",NA,"indeterminata","Blüte","vertrocknet","2018","Nord-Osten",NA
"121","16.12.2018","16.12.2018-138","TG18_MS1_CS_308","Botanikprobe","MS2, zw. M008 und Suedwand","MS2",NA,"indeterminata","Blüte","vertrocknet","2018","Norden",NA
"122","16.12.2018","16.12.2018-138","TG18_MS1_CS_308","Botanikprobe","MS2, zw. M008 und Suedwand","MS2",NA,"indeterminata","Blüte","vertrocknet","2018","Norden",NA
"123","16.12.2018","16.12.2018-138","TG18_MS1_CS_308","Botanikprobe","MS2, zw. M008 und Suedwand","MS2",NA,"indeterminata","Blüte","vertrocknet","2018","Norden",NA
"124","16.12.2018","16.12.2018-138","TG18_MS1_CS_308","Botanikprobe","MS2, zw. M008 und Suedwand","MS2",NA,"indeterminata","Blüte","vertrocknet","2018","Norden",NA
"125","06.12.2018","6.12.2018-129","TG18_MS1_CS_019","Beere (nein)","MS1, 2. Osthaelfte","MS1",NA,"indeterminata","Gallum","vertrocknet","2018","Osten",NA
